Hilton-Worldwide-Holdings-Quarterly-Net-Income-Quarter,Hilton-Worldwide-Holdings-Quarterly-Net-Income(Millions-of-US-$)
2020-09-30,$-79
2020-06-30,$-430
2020-03-31,$18
2019-12-31,$175
2019-09-30,$288
2019-06-30,$260
2019-03-31,$158
2018-12-31,$224
2018-09-30,$162
2018-06-30,$217
2018-03-31,$161
2017-12-31,$729
2017-09-30,$158
2017-06-30,$150
2017-03-31,$47
2016-12-31,$-397
2016-09-30,$187
2016-06-30,$239
2016-03-31,$309
2015-12-31,$814
2015-09-30,$279
2015-06-30,$161
2015-03-31,$150
2014-12-31,$158
2014-09-30,$183
2014-06-30,$209
2014-03-31,$123
2013-12-31,$26
2013-09-30,$200
2013-06-30,$155
2013-03-31,$34
2012-12-31,
2012-09-30,
2011-12-31,
2010-12-31,
