Hilton Worldwide Holdings Quarterly Revenue(Millions of US $),Hilton Worldwide Holdings Quarterly Revenue(Millions of US $).1
2020-09-30,$933
2020-06-30,$564
2020-03-31,"$1,920"
2019-12-31,"$2,369"
2019-09-30,"$2,395"
2019-06-30,"$2,484"
2019-03-31,"$2,204"
2018-12-31,"$2,288"
2018-09-30,"$2,253"
2018-06-30,"$2,291"
2018-03-31,"$2,074"
2017-12-31,"$2,068"
2017-09-30,"$2,091"
2017-06-30,"$2,076"
2017-03-31,"$1,896"
2016-12-31,"$1,033"
2016-09-30,"$1,867"
2016-06-30,"$1,950"
2016-03-31,"$1,726"
2015-12-31,"$-1,283"
2015-09-30,"$2,895"
2015-06-30,"$2,922"
2015-03-31,"$2,599"
2014-12-31,"$2,828"
2014-09-30,"$2,644"
2014-06-30,"$2,667"
2014-03-31,"$2,363"
2013-12-31,"$2,643"
2013-09-30,"$2,449"
2013-06-30,"$2,380"
2013-03-31,"$2,263"
2012-12-31,
2012-09-30,
2011-12-31,
2010-12-31,
