Marriott-Net-Income,Marriott-Quarterly-Net-Income(Millions-of-US-$)
2020-09-30,$100
2020-06-30,$-234
2020-03-31,$31
2019-12-31,$279
2019-09-30,$387
2019-06-30,$232
2019-03-31,$375
2018-12-31,$317
2018-09-30,$503
2018-06-30,$667
2018-03-31,$420
2017-12-31,$114
2017-09-30,$485
2017-06-30,$489
2017-03-31,$371
2016-12-31,$272
2016-09-30,$70
2016-06-30,$247
2016-03-31,$219
2015-12-31,$202
2015-09-30,$210
2015-06-30,$240
2015-03-31,$207
2014-12-31,$197
2014-09-30,$192
2014-06-30,$192
2014-03-31,$172
2013-12-31,$151
2013-09-30,$160
2013-06-30,$179
2013-03-31,$136
2012-12-31,$181
2012-09-30,$143
2012-06-30,$143
2012-03-31,$104
2011-12-31,$141
2011-09-30,$-179
2011-06-30,$135
2011-03-31,$101
2010-12-31,$173
2010-09-30,$83
2010-06-30,$119
2010-03-31,$83
2009-12-31,$106
2009-09-30,$-466
2009-06-30,$37
2009-03-31,$-23
2008-12-31,$-10
2008-09-30,$94
2008-06-30,$157
2008-03-31,$121
2007-12-31,$176
2007-09-30,$131
2007-06-30,$207
2007-03-31,$182
2006-12-31,$220
2006-09-30,$141
2006-06-30,$186
2006-03-31,$61
2005-12-31,$237
2005-09-30,$149
2005-06-30,$138
2005-03-31,$145
