Marriott Quarterly Revenue(Millions of US $),Marriott Quarterly Revenue(Millions of US $).1
2020-09-30,"$2,254"
2020-06-30,"$1,464"
2020-03-31,"$4,681"
2019-12-31,"$5,371"
2019-09-30,"$5,284"
2019-06-30,"$5,305"
2019-03-31,"$5,012"
2018-12-31,"$5,289"
2018-09-30,"$5,051"
2018-06-30,"$5,409"
2018-03-31,"$5,009"
2017-12-31,"$5,251"
2017-09-30,"$5,078"
2017-06-30,"$5,211"
2017-03-31,"$4,912"
2016-12-31,"$3,791"
2016-09-30,"$3,942"
2016-06-30,"$3,902"
2016-03-31,"$3,772"
2015-12-31,"$3,706"
2015-09-30,"$3,578"
2015-06-30,"$3,689"
2015-03-31,"$3,513"
2014-12-31,"$3,559"
2014-09-30,"$3,460"
2014-06-30,"$3,484"
2014-03-31,"$3,293"
2013-12-31,"$3,219"
2013-09-30,"$3,160"
2013-06-30,"$3,263"
2013-03-31,"$3,142"
2012-12-31,"$3,757"
2012-09-30,"$2,729"
2012-06-30,"$2,776"
2012-03-31,"$2,552"
2011-12-31,"$3,693"
2011-09-30,"$2,874"
2011-06-30,"$2,972"
2011-03-31,"$2,778"
2010-12-31,"$3,642"
2010-09-30,"$2,648"
2010-06-30,"$2,771"
2010-03-31,"$2,630"
2009-12-31,"$3,380"
2009-09-30,"$2,471"
2009-06-30,"$2,562"
2009-03-31,"$2,495"
2008-12-31,"$3,784"
2008-09-30,"$2,963"
2008-06-30,"$3,185"
2008-03-31,"$2,947"
2007-12-31,"$4,089"
2007-09-30,"$2,943"
2007-06-30,"$3,122"
2007-03-31,"$2,836"
2006-12-31,"$3,696"
2006-09-30,"$2,703"
2006-06-30,"$2,891"
2006-03-31,"$2,705"
2005-12-31,"$3,220"
2005-09-30,"$2,714"
2005-06-30,"$2,661"
2005-03-31,"$2,534"
