WYNDHAMQuarterlyRevenue,WYNDHAMQuarterlyRevenueDollars
2020-09-30,$614
2020-06-30,$343
2020-03-31,$558
2019-12-31,$981
2019-09-30,"$1,105"
2019-06-30,"$1,039"
2019-03-31,$918
2018-12-31,$955
2018-09-30,"$1,062"
2018-06-30,"$1,007"
2018-03-31,$907
2017-12-31,$659
2017-09-30,"$1,015"
2017-06-30,$978
2017-03-31,"$1,154"
2016-12-31,$-587
2016-09-30,"$1,573"
2016-06-30,"$1,403"
2016-03-31,"$1,303"
2015-12-31,$654
2015-09-30,"$1,564"
2015-06-30,"$1,398"
2015-03-31,"$1,262"
2014-12-31,"$1,231"
2014-09-30,"$1,514"
2014-06-30,"$1,343"
2014-03-31,"$1,193"
2013-12-31,"$1,196"
2013-09-30,"$1,427"
2013-06-30,"$1,253"
2013-03-31,"$1,133"
2012-12-31,"$1,094"
2012-09-30,"$1,265"
2012-06-30,"$1,139"
2012-03-31,"$1,036"
2011-12-31,"$1,000"
2011-09-30,"$1,212"
2011-06-30,"$1,090"
2011-03-31,$952
2010-12-31,$937
2010-09-30,"$1,065"
2010-06-30,$963
2010-03-31,$886
2009-12-31,$913
2009-09-30,"$1,016"
2009-06-30,$920
2009-03-31,$901
2008-12-31,$911
2008-09-30,"$1,226"
2008-06-30,"$1,132"
2008-03-31,"$1,012"
2007-12-31,"$1,032"
2007-09-30,"$1,216"
2007-06-30,"$1,100"
2007-03-31,"$1,012"
2006-12-31,$970
2006-09-30,"$1,047"
2006-06-30,$955
2006-03-31,$870
2005-12-31,
2005-09-30,$948
2005-06-30,$867
