HiltonWorldwideHoldingsQuarterlyNetIncomeQuarter,HiltonWorldwideHoldingsQuarterlyNetIncomeDollars
2020-09-30,-79000000.0
2020-06-30,-430000000.0
2020-03-31,18000000.0
2019-12-31,175000000.0
2019-09-30,288000000.0
2019-06-30,260000000.0
2019-03-31,158000000.0
2018-12-31,224000000.0
2018-09-30,162000000.0
2018-06-30,217000000.0
2018-03-31,161000000.0
2017-12-31,729000000.0
2017-09-30,158000000.0
2017-06-30,150000000.0
2017-03-31,47000000.0
2016-12-31,-397000000.0
2016-09-30,187000000.0
2016-06-30,239000000.0
2016-03-31,309000000.0
2015-12-31,814000000.0
2015-09-30,279000000.0
2015-06-30,161000000.0
2015-03-31,150000000.0
2014-12-31,158000000.0
2014-09-30,183000000.0
2014-06-30,209000000.0
2014-03-31,123000000.0
2013-12-31,26000000.0
2013-09-30,200000000.0
2013-06-30,155000000.0
2013-03-31,34000000.0
2012-12-31,0.0
2012-09-30,0.0
2011-12-31,0.0
2010-12-31,0.0
