HiltonWorldwideHoldingsQuarterlyRevenueDate,HiltonWorldwideHoldingsQuarterlyRevenueDollars
2020-09-30,933000000.0
2020-06-30,564000000.0
2020-03-31,1920000000.0
2019-12-31,2369000000.0
2019-09-30,2395000000.0
2019-06-30,2484000000.0
2019-03-31,2204000000.0
2018-12-31,2288000000.0
2018-09-30,2253000000.0
2018-06-30,2291000000.0
2018-03-31,2074000000.0
2017-12-31,2068000000.0
2017-09-30,2091000000.0
2017-06-30,2076000000.0
2017-03-31,1896000000.0
2016-12-31,1033000000.0
2016-09-30,1867000000.0
2016-06-30,1950000000.0
2016-03-31,1726000000.0
2015-12-31,-1283000000.0
2015-09-30,2895000000.0
2015-06-30,2922000000.0
2015-03-31,2599000000.0
2014-12-31,2828000000.0
2014-09-30,2644000000.0
2014-06-30,2667000000.0
2014-03-31,2363000000.0
2013-12-31,2643000000.0
2013-09-30,2449000000.0
2013-06-30,2380000000.0
2013-03-31,2263000000.0
2012-12-31,0.0
2012-09-30,0.0
2011-12-31,0.0
2010-12-31,0.0
