MarriottNetIncome,MarriottQuarterlyNetIncomeDollars
2020-09-30,100000000.0
2020-06-30,-234000000.0
2020-03-31,31000000.0
2019-12-31,279000000.0
2019-09-30,387000000.0
2019-06-30,232000000.0
2019-03-31,375000000.0
2018-12-31,317000000.0
2018-09-30,503000000.0
2018-06-30,667000000.0
2018-03-31,420000000.0
2017-12-31,114000000.0
2017-09-30,485000000.0
2017-06-30,489000000.0
2017-03-31,371000000.0
2016-12-31,272000000.0
2016-09-30,70000000.0
2016-06-30,247000000.0
2016-03-31,219000000.0
2015-12-31,202000000.0
2015-09-30,210000000.0
2015-06-30,240000000.0
2015-03-31,207000000.0
2014-12-31,197000000.0
2014-09-30,192000000.0
2014-06-30,192000000.0
2014-03-31,172000000.0
2013-12-31,151000000.0
2013-09-30,160000000.0
2013-06-30,179000000.0
2013-03-31,136000000.0
2012-12-31,181000000.0
2012-09-30,143000000.0
2012-06-30,143000000.0
2012-03-31,104000000.0
2011-12-31,141000000.0
2011-09-30,-179000000.0
2011-06-30,135000000.0
2011-03-31,101000000.0
2010-12-31,173000000.0
2010-09-30,83000000.0
2010-06-30,119000000.0
2010-03-31,83000000.0
2009-12-31,106000000.0
2009-09-30,-466000000.0
2009-06-30,37000000.0
2009-03-31,-23000000.0
2008-12-31,-10000000.0
2008-09-30,94000000.0
2008-06-30,157000000.0
2008-03-31,121000000.0
2007-12-31,176000000.0
2007-09-30,131000000.0
2007-06-30,207000000.0
2007-03-31,182000000.0
2006-12-31,220000000.0
2006-09-30,141000000.0
2006-06-30,186000000.0
2006-03-31,61000000.0
2005-12-31,237000000.0
2005-09-30,149000000.0
2005-06-30,138000000.0
2005-03-31,145000000.0
